frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,_ws.col.protocol
"1766041611.503305808",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.504971537",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.506575144",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.511416952",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.512836155",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.514288175",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.515694733",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.517400935",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.518767236",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.520168164",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.525178404",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.526593632",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.527997740",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.529448470",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.536532473",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.537907275",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.539435989",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.550145794",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.564772310",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.566104115",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.567513139",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.569280988",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.570764189",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.572426614",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
